gdyear,gdtemp,coalesce
1920,8.36,26.51
1921,8.57,26.76
1922,8.41,26.26
1923,8.42,26.33
1924,8.51,26.52
1925,8.53,26.44
1926,8.73,26.45
1927,8.52,26.04
1928,8.63,26.42
1929,8.24,26.56
1930,8.63,26.39
1931,8.72,26.71
1932,8.71,26.62
1933,8.34,26.12
1934,8.63,26.09
1935,8.52,25.99
1936,8.55,26.28
1937,8.70,26.08
1938,8.86,26.21
1939,8.76,26.42
1940,8.76,26.32
1941,8.77,27.15
1942,8.73,26.55
1943,8.76,26.37
1944,8.85,26.33
1945,8.58,25.89
1946,8.68,26.53
1947,8.80,26.56
1948,8.75,26.84
1949,8.59,26.77
1950,8.37,26.01
1951,8.63,26.80
1952,8.64,26.92
1953,8.87,26.89
1954,8.56,26.53
1955,8.63,26.40
1956,8.28,26.21
1957,8.73,26.52
1958,8.77,27.03
1959,8.73,26.65
1960,8.58,26.65
1961,8.80,26.19
1962,8.75,26.42
1963,8.86,26.72
1964,8.41,26.34
1965,8.53,26.65
1966,8.60,26.86
1967,8.70,26.45
1968,8.52,26.29
1969,8.60,27.11
1970,8.70,26.45
1971,8.60,26.21
1972,8.50,26.82
1973,8.95,26.57
1974,8.47,26.79
1975,8.74,26.11
1976,8.35,26.76
1977,8.85,27.01
1978,8.69,26.57
1979,8.73,26.78
1980,8.98,26.95
1981,9.17,26.64
1982,8.64,26.73
1983,9.03,26.10
1984,8.69,26.43
1985,8.66,26.81
1986,8.83,26.81
1987,8.99,27.65
1988,9.20,27.25
1989,8.92,26.60
1990,9.23,26.63
1991,9.18,26.70
1992,8.84,26.78
1993,8.87,27.04
1994,9.04,26.55
1995,9.35,27.03
1996,9.04,27.01
1997,9.20,26.53
1998,9.52,27.32
1999,9.29,26.96
2000,9.20,27.03
2001,9.41,26.90
2002,9.57,27.35
2003,9.53,27.23
2004,9.32,27.29
2005,9.70,26.72
2006,9.53,27.15
2007,9.73,27.31
2008,9.43,26.83
2009,9.51,27.82
2010,9.70,27.68
2011,9.52,27.02
2012,9.51,26.89
2013,9.61,27.44
2014,9.57,26.32
2015,9.83,26.32
