year,gdtemp,srt,rjt,ahm,vad
1926,8.73,26.45,26.22,26.55,26.45
1927,8.52,26.04,25.80,26.08,26.04
1928,8.63,26.42,26.05,26.60,26.42
1929,8.24,26.56,26.34,26.76,26.56
1930,8.63,26.39,26.09,26.58,26.39
1931,8.72,26.71,26.52,26.95,26.71
1932,8.71,26.62,26.53,26.90,26.62
1933,8.34,26.12,26.16,26.29,26.12
1934,8.63,26.09,25.98,26.35,26.09
1935,8.52,25.99,25.86,26.10,25.99
1936,8.55,26.28,26.14,26.36,26.28
1937,8.70,26.08,25.85,26.24,26.08
1938,8.86,26.21,25.89,26.46,26.21
1939,8.76,26.42,26.12,26.61,26.42
1940,8.76,26.32,26.26,26.54,26.32
1941,8.77,27.15,26.75,27.23,27.15
1942,8.73,26.55,26.28,26.71,26.55
1943,8.76,26.37,26.36,26.69,26.37
1944,8.85,26.33,26.19,26.47,26.33
1945,8.58,25.89,25.66,25.99,25.89
1946,8.68,26.53,26.14,26.65,26.53
1947,8.80,26.56,26.19,26.80,26.56
1948,8.75,26.84,26.48,27.13,26.84
1949,8.59,26.77,26.33,27.11,26.77
1950,8.37,26.01,25.54,26.06,26.01
1951,8.63,26.80,26.37,27.03,26.80
1952,8.64,26.92,26.31,27.08,26.92
1953,8.87,26.89,26.55,27.14,26.89
1954,8.56,26.53,26.21,26.71,26.53
1955,8.63,26.40,26.32,26.68,26.40
1956,8.28,26.21,25.90,26.28,26.21
1957,8.73,26.52,26.04,26.61,26.52
1958,8.77,27.03,26.71,27.28,27.03
1959,8.73,26.65,26.36,26.72,26.65
1960,8.58,26.65,26.28,26.77,26.65
1961,8.80,26.19,25.97,26.29,26.19
1962,8.75,26.42,26.19,26.64,26.42
1963,8.86,26.72,26.67,27.10,26.72
1964,8.41,26.34,25.96,26.51,26.34
1965,8.53,26.65,26.37,26.82,26.65
1966,8.60,26.86,26.53,26.89,26.86
1967,8.70,26.45,26.24,26.46,26.45
1968,8.52,26.29,26.13,26.54,26.29
1969,8.60,27.11,26.64,27.26,27.11
1970,8.70,26.45,26.21,26.71,26.45
1971,8.60,26.21,26.13,26.57,26.21
1972,8.50,26.82,26.34,26.88,26.82
1973,8.95,26.57,26.32,26.72,26.57
1974,8.47,26.79,26.64,27.02,26.79
1975,8.74,26.11,25.99,26.23,26.11
1976,8.35,26.76,26.55,26.79,26.76
1977,8.85,27.01,26.90,27.17,27.01
1978,8.69,26.57,26.35,26.77,26.57
1979,8.73,26.78,26.28,26.97,26.78
1980,8.98,26.95,26.39,27.22,26.95
1981,9.17,26.64,26.25,26.89,26.64
1982,8.64,26.73,26.48,26.74,26.73
1983,9.03,26.10,25.96,26.21,26.10
1984,8.69,26.43,26.13,26.53,26.43
1985,8.66,26.81,26.49,27.13,26.81
1986,8.83,26.81,26.43,26.96,26.81
1987,8.99,27.65,27.37,28.06,27.65
1988,9.20,27.25,27.09,27.61,27.25
1989,8.92,26.60,26.27,26.76,26.60
1990,9.23,26.63,26.59,26.88,26.63
1991,9.18,26.70,26.34,26.90,26.70
1992,8.84,26.78,26.37,26.82,26.78
1993,8.87,27.04,27.07,27.46,27.04
1994,9.04,26.55,26.46,26.74,26.55
1995,9.35,27.03,26.72,27.20,27.03
1996,9.04,27.01,26.64,27.06,27.01
1997,9.20,26.53,26.38,26.45,26.53
1998,9.52,27.32,27.09,27.48,27.32
1999,9.29,26.96,26.85,27.21,26.96
2000,9.20,27.03,27.08,27.44,27.03
2001,9.41,26.90,26.91,27.20,26.90
2002,9.57,27.35,27.15,27.72,27.35
2003,9.53,27.23,26.97,27.40,27.23
2004,9.32,27.29,27.16,27.63,27.29
2005,9.70,26.72,26.51,26.83,26.72
2006,9.53,27.15,26.94,27.28,27.15
2007,9.73,27.31,27.23,27.51,27.31
2008,9.43,26.83,26.51,27.05,26.83
2009,9.51,27.82,27.43,28.10,27.82
2010,9.70,27.68,27.16,28.02,27.68
2011,9.52,27.02,26.84,27.29,27.02
2012,9.51,26.89,26.65,27.03,26.89
2013,9.61,27.44,27.14,27.61,27.44
2014,9.57,26.31,26.07,26.53,26.31
2015,9.83,26.31,26.07,26.53,26.31
